s (1,1) 9
(93,8) (92,8) 104
(93,8) (94,8) 91
(94,8) (93,8) 110
(94,8) (95,8) 200
(95,8) (94,8) 40
(95,8) (96,8) 192
(96,8) (95,8) 94
(96,8) (97,8) 35
(97,8) (96,8) 29
(97,8) (98,8) 1
(98,8) (97,8) 162
(98,8) (99,8) 45
(99,8) (98,8) 52
(99,8) (100,8) 20
(100,8) (99,8) 170
(100,8) (101,8) 193
(101,8) (100,8) 119
(101,8) (102,8) 49
(102,8) (101,8) 129
(102,8) (103,8) 171
(103,8) (102,8) 63
(103,8) (104,8) 40
(104,8) (103,8) 190
(104,8) (105,8) 115
(105,8) (104,8) 71
(105,8) (106,8) 51
(106,8) (105,8) 127
(106,8) (107,8) 32
(107,8) (106,8) 72
(107,8) (108,8) 22
(108,8) (107,8) 27
(108,8) (109,8) 161
(109,8) (108,8) 21
(109,8) (110,8) 50
(110,8) (109,8) 145
(110,8) (111,8) 198
(111,8) (110,8) 90
(111,8) (112,8) 25
(112,8) (111,8) 162
(112,8) (113,8) 126
(113,8) (112,8) 174
(113,8) (114,8) 27
(114,8) (113,8) 8
(114,8) (115,8) 186
(115,8) (114,8) 74
(115,8) (116,8) 135
(116,8) (115,8) 194
(116,8) (117,8) 158
(117,8) (116,8) 133
(117,8) (118,8) 46
(118,8) (117,8) 125
(118,8) (119,8) 64
(119,8) (118,8) 165
(119,8) (120,8) 122
(120,8) (119,8) 168
(120,8) (121,8) 153
(121,8) (120,8) 84
(121,8) (122,8) 108
(122,8) (121,8) 12
(122,8) (123,8) 56
(123,8) (122,8) 109
(123,8) (124,8) 170
(124,8) (123,8) 158
(124,8) (125,8) 22
(125,8) (124,8) 121
(125,8) (126,8) 86
(126,8) (125,8) 187
(126,8) (127,8) 84
(127,8) (126,8) 35
(127,8) (128,8) 60
(128,8) (127,8) 63
(128,8) (129,8) 24
(129,8) (128,8) 92
(129,8) (130,8) 84
(130,8) (129,8) 1
(130,8) (131,8) 183
(131,8) (130,8) 83
(131,8) (132,8) 77
(132,8) (131,8) 94
(132,8) (133,8) 36
(133,8) (132,8) 157
(133,8) (134,8) 179
(134,8) (133,8) 57
(134,8) (135,8) 30
(135,8) (134,8) 116
(135,8) (136,8) 55
(136,8) (135,8) 132
(136,8) (137,8) 72
(137,8) (136,8) 80
(137,8) (138,8) 101
(138,8) (137,8) 78
(138,8) (139,8) 2
(139,8) (138,8) 87
(139,8) (140,8) 139
(140,8) (139,8) 153
(140,8) (141,8) 189
(141,8) (140,8) 194
(141,8) (142,8) 13
(142,8) (141,8) 134
(142,8) (143,8) 164
(143,8) (142,8) 149
(143,8) (144,8) 117
(144,8) (143,8) 200
(144,8) (145,8) 22
(145,8) (144,8) 58
(145,8) (146,8) 183
(146,8) (145,8) 33
(146,8) (147,8) 159
(147,8) (146,8) 4
(147,8) (148,8) 139
(148,8) (147,8) 189
(148,8) (149,8) 102
(149,8) (148,8) 67
(149,8) (150,8) 92
(150,8) (149,8) 185
(1,9) (2,9) 98
(2,9) (1,9) 80
(2,9) (3,9) 125
(3,9) (2,9) 127
(3,9) (4,9) 189
(4,9) (3,9) 190
(4,9) (5,9) 27
(5,9) (4,9) 114
(5,9) (6,9) 163
(6,9) (5,9) 123
(6,9) (7,9) 78
(7,9) (6,9) 192
(7,9) (8,9) 195
(8,9) (7,9) 114
(8,9) (9,9) 41
(9,9) (8,9) 112
(9,9) (10,9) 148
(10,9) (9,9) 7
(10,9) (11,9) 9
(11,9) (10,9) 9
(11,9) (12,9) 107
(12,9) (11,9) 142
(12,9) (13,9) 98
(13,9) (12,9) 13
(13,9) (14,9) 48
(14,9) (13,9) 200
(14,9) (15,9) 52
(15,9) (14,9) 129
(15,9) (16,9) 113
(16,9) (15,9) 83
(16,9) (17,9) 69
(17,9) (16,9) 34
(17,9) (18,9) 38
(18,9) (17,9) 188
(18,9) (19,9) 184
(19,9) (18,9) 61
(19,9) (20,9) 108
(20,9) (19,9) 172
(20,9) (21,9) 75
(21,9) (20,9) 74
(21,9) (22,9) 101
(22,9) (21,9) 148
(22,9) (23,9) 86
(23,9) (22,9) 134
(23,9) (24,9) 36
(24,9) (23,9) 150
(24,9) (25,9) 103
(25,9) (24,9) 4
(25,9) (26,9) 198
(26,9) (25,9) 170
(26,9) (27,9) 67
(27,9) (26,9) 128
(27,9) (28,9) 180
(28,9) (27,9) 18
(28,9) (29,9) 63
(29,9) (28,9) 16
(29,9) (30,9) 181
(30,9) (29,9) 99
(30,9) (31,9) 84
(31,9) (30,9) 199
(31,9) (32,9) 33
(32,9) (31,9) 200
(32,9) (33,9) 145
(33,9) (32,9) 86
(33,9) (34,9) 144
(34,9) (33,9) 188
(34,9) (35,9) 194
(35,9) (34,9) 193
(35,9) (36,9) 96
(36,9) (35,9) 52
(36,9) (37,9) 198
(37,9) (36,9) 196
(37,9) (38,9) 77
(38,9) (37,9) 183
(38,9) (39,9) 63
(39,9) (38,9) 24
(39,9) (40,9) 171
(40,9) (39,9) 171
(40,9) (41,9) 99
(41,9) (40,9) 158
(41,9) (42,9) 176
(42,9) (41,9) 45
(42,9) (43,9) 95
(43,9) (42,9) 87
(43,9) (44,9) 189
(44,9) (43,9) 179
(44,9) (45,9) 162
(45,9) (44,9) 21
(45,9) (46,9) 154
(46,9) (45,9) 122
(46,9) (47,9) 159
(47,9) (46,9) 82
(47,9) (48,9) 1
(48,9) (47,9) 120
(48,9) (49,9) 157
(49,9) (48,9) 187
(49,9) (50,9) 114
(50,9) (49,9) 37
(50,9) (51,9) 17
(51,9) (50,9) 136
(51,9) (52,9) 86
(52,9) (51,9) 131
(52,9) (53,9) 3
(53,9) (52,9) 83
(53,9) (54,9) 152
(54,9) (53,9) 199
(54,9) (55,9) 126
(55,9) (54,9) 74
(55,9) (56,9) 29
(56,9) (55,9) 43
(56,9) (57,9) 104
(57,9) (56,9) 35
(57,9) (58,9) 36
(58,9) (57,9) 145
(58,9) (59,9) 57
(59,9) (58,9) 51
(59,9) (60,9) 17
(60,9) (59,9) 190
(60,9) (61,9) 153
(61,9) (60,9) 66
(61,9) (62,9) 19
(62,9) (61,9) 40
(62,9) (63,9) 130
(63,9) (62,9) 55
(63,9) (64,9) 189
(64,9) (63,9) 141
(64,9) (65,9) 29
(65,9) (64,9) 196
(65,9) (66,9) 50
(66,9) (65,9) 10
(66,9) (67,9) 32
(67,9) (66,9) 102
(67,9) (68,9) 177
(68,9) (67,9) 93
(68,9) (69,9) 149
(69,9) (68,9) 3
(69,9) (70,9) 80
(70,9) (69,9) 160
(70,9) (71,9) 110
(71,9) (70,9) 175
(71,9) (72,9) 141
(72,9) (71,9) 139
(72,9) (73,9) 187
(73,9) (72,9) 85
(73,9) (74,9) 64
(74,9) (73,9) 68
(74,9) (75,9) 190
(75,9) (74,9) 151
(75,9) (76,9) 28
(76,9) (75,9) 157
(76,9) (77,9) 70
(77,9) (76,9) 139
(77,9) (78,9) 4
(78,9) (77,9) 186
(78,9) (79,9) 104
(79,9) (78,9) 50
(79,9) (80,9) 178
(80,9) (79,9) 149
(80,9) (81,9) 85
(81,9) (80,9) 101
(81,9) (82,9) 146
(82,9) (81,9) 136
(82,9) (83,9) 68
(83,9) (82,9) 198
(83,9) (84,9) 110
(84,9) (83,9) 86
(84,9) (85,9) 7
(85,9) (84,9) 168
(85,9) (86,9) 51
(86,9) (85,9) 127
(86,9) (87,9) 123
(87,9) (86,9) 92
(87,9) (88,9) 32
(88,9) (87,9) 23
(88,9) (89,9) 1
(89,9) (88,9) 146
(89,9) (90,9) 54
(90,9) (89,9) 121
(90,9) (91,9) 33
(91,9) (90,9) 136
(91,9) (92,9) 11
(92,9) (91,9) 37
(92,9) (93,9) 151
(93,9) (92,9) 26
(93,9) (94,9) 57
(94,9) (93,9) 91
(94,9) (95,9) 45
(95,9) (94,9) 158
(95,9) (96,9) 108
(96,9) (95,9) 34
(96,9) (97,9) 24
(97,9) (96,9) 146
(97,9) (98,9) 112
(98,9) (97,9) 194
(98,9) (99,9) 143
(99,9) (98,9) 125
(99,9) (100,9) 136
(100,9) (99,9) 114
(100,9) (101,9) 118
(101,9) (100,9) 142
(101,9) (102,9) 59
(102,9) (101,9) 119
(102,9) (103,9) 145
(103,9) (102,9) 141
(103,9) (104,9) 193
(104,9) (103,9) 34
(104,9) (105,9) 3
(105,9) (104,9) 69
(105,9) (106,9) 148
(106,9) (105,9) 77
(106,9) (107,9) 15
(107,9) (106,9) 26
(107,9) (108,9) 154
(108,9) (107,9) 2
(108,9) (109,9) 53
(109,9) (108,9) 132
(109,9) (110,9) 14
(110,9) (109,9) 87
(110,9) (111,9) 166
(111,9) (110,9) 200
(111,9) (112,9) 174
(112,9) (111,9) 42
(112,9) (113,9) 59
(113,9) (112,9) 168
(113,9) (114,9) 31
(114,9) (113,9) 196
(114,9) (115,9) 23
(115,9) (114,9) 70
(115,9) (116,9) 68
(116,9) (115,9) 189
(116,9) (117,9) 38
(117,9) (116,9) 18
(117,9) (118,9) 166
(118,9) (117,9) 173
(118,9) (119,9) 77
(119,9) (118,9) 189
(119,9) (120,9) 157
(120,9) (119,9) 122
(120,9) (121,9) 8
(121,9) (120,9) 154
(121,9) (122,9) 149
(122,9) (121,9) 19
(122,9) (123,9) 178
(123,9) (122,9) 144
(123,9) (124,9) 44
(124,9) (123,9) 56
(124,9) (125,9) 159
(125,9) (124,9) 70
(125,9) (126,9) 55
(126,9) (125,9) 27
(126,9) (127,9) 190
(127,9) (126,9) 12
(127,9) (128,9) 140
(128,9) (127,9) 151
(128,9) (129,9) 2
(129,9) (128,9) 81
(129,9) (130,9) 187
(130,9) (129,9) 139
(130,9) (131,9) 112
(131,9) (130,9) 198
(131,9) (132,9) 21
(132,9) (131,9) 155
(132,9) (133,9) 66
(133,9) (132,9) 191
(133,9) (134,9) 6
(134,9) (133,9) 12
(134,9) (135,9) 82
(135,9) (134,9) 193
(135,9) (136,9) 48
(136,9) (135,9) 122
(136,9) (137,9) 194
(137,9) (136,9) 13
(137,9) (138,9) 196
(138,9) (137,9) 160
(138,9) (139,9) 80
(139,9) (138,9) 47
(139,9) (140,9) 189
(140,9) (139,9) 194
(140,9) (141,9) 192
(141,9) (140,9) 179
(141,9) (142,9) 80
(142,9) (141,9) 10
(142,9) (143,9) 81
(143,9) (142,9) 197
(143,9) (144,9) 195
(144,9) (143,9) 38
(144,9) (145,9) 1
(145,9) (144,9) 139
(145,9) (146,9) 151
(146,9) (145,9) 27
(146,9) (147,9) 76
(147,9) (146,9) 105
(147,9) (148,9) 88
(148,9) (147,9) 112
(148,9) (149,9) 152
(149,9) (148,9) 73
(149,9) (150,9) 33
(150,9) (149,9) 169
(1,10) (2,10) 28
(2,10) (1,10) 165
(2,10) (3,10) 140
(3,10) (2,10) 21
(3,10) (4,10) 119
(4,10) (3,10) 2
(4,10) (5,10) 31
(5,10) (4,10) 71
(5,10) (6,10) 172
(6,10) (5,10) 27
(6,10) (7,10) 171
(7,10) (6,10) 182
(7,10) (8,10) 75
(8,10) (7,10) 135
(8,10) (9,10) 53
(9,10) (8,10) 193
(9,10) (10,10) 115
(10,10) (9,10) 152
(10,10) (11,10) 119
(11,10) (10,10) 131
(11,10) (12,10) 28
(12,10) (11,10) 33
(12,10) (13,10) 17
(13,10) (12,10) 166
(13,10) (14,10) 121
(14,10) (13,10) 99
(14,10) (15,10) 49
(15,10) (14,10) 71
(15,10) (16,10) 146
(16,10) (15,10) 100
(16,10) (17,10) 42
(17,10) (16,10) 102
(17,10) (18,10) 175
(18,10) (17,10) 68
(18,10) (19,10) 160
(19,10) (18,10) 185
(19,10) (20,10) 113
(20,10) (19,10) 37
(20,10) (21,10) 161
(21,10) (20,10) 12
(21,10) (22,10) 3
(22,10) (21,10) 7
(22,10) (23,10) 199
(23,10) (22,10) 159
(23,10) (24,10) 37
(24,10) (23,10) 110
(24,10) (25,10) 187
(25,10) (24,10) 147
(25,10) (26,10) 25
(26,10) (25,10) 1
(26,10) (27,10) 147
(27,10) (26,10) 74
(27,10) (28,10) 102
(28,10) (27,10) 71
(28,10) (29,10) 4
(29,10) (28,10) 186
(29,10) (30,10) 98
(30,10) (29,10) 103
(30,10) (31,10) 163
(31,10) (30,10) 6
(31,10) (32,10) 93
(32,10) (31,10) 116
(32,10) (33,10) 44
(33,10) (32,10) 82
(33,10) (34,10) 64
(34,10) (33,10) 51
(34,10) (35,10) 118
(35,10) (34,10) 48
(35,10) (36,10) 156
(36,10) (35,10) 51
(36,10) (37,10) 150
(37,10) (36,10) 180
(37,10) (38,10) 160
(38,10) (37,10) 128
(38,10) (39,10) 23
(39,10) (38,10) 120
(39,10) (40,10) 162
(40,10) (39,10) 100
(40,10) (41,10) 100
(41,10) (40,10) 101
(41,10) (42,10) 142
(42,10) (41,10) 11
(42,10) (43,10) 108
(43,10) (42,10) 47
(43,10) (44,10) 60
(44,10) (43,10) 193
(44,10) (45,10) 116
(45,10) (44,10) 179
(45,10) (46,10) 12
(46,10) (45,10) 90
(46,10) (47,10) 114
(47,10) (46,10) 79
(47,10) (48,10) 84
(48,10) (47,10) 21
(48,10) (49,10) 29
(49,10) (48,10) 22
(49,10) (50,10) 194
(50,10) (49,10) 46
(50,10) (51,10) 34
(51,10) (50,10) 143
(51,10) (52,10) 174
(52,10) (51,10) 63
(52,10) (53,10) 194
(53,10) (52,10) 170
(53,10) (54,10) 175
(54,10) (53,10) 170
(54,10) (55,10) 87
(55,10) (54,10) 126
(55,10) (56,10) 13
(56,10) (55,10) 29
(56,10) (57,10) 197
(57,10) (56,10) 89
(57,10) (58,10) 14
(58,10) (57,10) 67
(58,10) (59,10) 141
(59,10) (58,10) 5
(59,10) (60,10) 90
(60,10) (59,10) 27
(60,10) (61,10) 148
(61,10) (60,10) 20
(61,10) (62,10) 9
(62,10) (61,10) 135
(62,10) (63,10) 171
(63,10) (62,10) 128
(63,10) (64,10) 181
(64,10) (63,10) 132
(64,10) (65,10) 160
(65,10) (64,10) 168
(65,10) (66,10) 154
(66,10) (65,10) 120
(66,10) (67,10) 25
(67,10) (66,10) 179
(67,10) (68,10) 153
(68,10) (67,10) 77
(68,10) (69,10) 145
(69,10) (68,10) 130
(69,10) (70,10) 172
(70,10) (69,10) 104
(70,10) (71,10) 74
(71,10) (70,10) 182
(71,10) (72,10) 100
(72,10) (71,10) 190
(72,10) (73,10) 130
(73,10) (72,10) 166
(73,10) (74,10) 22
(74,10) (73,10) 164
(74,10) (75,10) 187
(75,10) (74,10) 114
(75,10) (76,10) 36
(76,10) (75,10) 10
(76,10) (77,10) 170
(77,10) (76,10) 145
(77,10) (78,10) 15
(78,10) (77,10) 139
(78,10) (79,10) 146
(79,10) (78,10) 107
(79,10) (80,10) 98
(80,10) (79,10) 155
(80,10) (81,10) 17
(81,10) (80,10) 180
(81,10) (82,10) 146
(82,10) (81,10) 78
(82,10) (83,10) 7
(83,10) (82,10) 198
(83,10) (84,10) 42
(84,10) (83,10) 89
(84,10) (85,10) 174
(85,10) (84,10) 9
(85,10) (86,10) 36
(86,10) (85,10) 191
(86,10) (87,10) 21
(87,10) (86,10) 50
(87,10) (88,10) 161
(88,10) (87,10) 194
(88,10) (89,10) 31
(89,10) (88,10) 189
(89,10) (90,10) 104
(90,10) (89,10) 124
(90,10) (91,10) 25
(91,10) (90,10) 32
(91,10) (92,10) 5
(92,10) (91,10) 64
(92,10) (93,10) 105
(93,10) (92,10) 126
(93,10) (94,10) 113
(94,10) (93,10) 138
(94,10) (95,10) 34
(95,10) (94,10) 165
(95,10) (96,10) 72
(96,10) (95,10) 128
(96,10) (97,10) 171
(97,10) (96,10) 45
(97,10) (98,10) 72
(98,10) (97,10) 84
(98,10) (99,10) 159
(99,10) (98,10) 109
(99,10) (100,10) 125
(100,10) (99,10) 135
(100,10) (101,10) 95
(101,10) (100,10) 19
(101,10) (102,10) 65
(102,10) (101,10) 107
(102,10) (103,10) 52
(103,10) (102,10) 79
(103,10) (104,10) 97
(104,10) (103,10) 125
(104,10) (105,10) 81
(105,10) (104,10) 77
(105,10) (106,10) 99
(106,10) (105,10) 77
(106,10) (107,10) 76
(107,10) (106,10) 29
(107,10) (108,10) 99
(108,10) (107,10) 43
(108,10) (109,10) 157
(109,10) (108,10) 89
(109,10) (110,10) 100
(110,10) (109,10) 128
(110,10) (111,10) 143
(111,10) (110,10) 58
(111,10) (112,10) 91
(112,10) (111,10) 86
(112,10) (113,10) 100
(113,10) (112,10) 151
(113,10) (114,10) 184
(114,10) (113,10) 21
(114,10) (115,10) 174
(115,10) (114,10) 20
(115,10) (116,10) 62
(116,10) (115,10) 187
(116,10) (117,10) 103
(117,10) (116,10) 3
(117,10) (118,10) 138
(118,10) (117,10) 15
(118,10) (119,10) 1
(119,10) (118,10) 129
(119,10) (120,10) 8
(120,10) (119,10) 99
(120,10) (121,10) 90
(121,10) (120,10) 119
(121,10) (122,10) 32
(122,10) (121,10) 3
(122,10) (123,10) 136
(123,10) (122,10) 139
(123,10) (124,10) 144
(124,10) (123,10) 62
(124,10) (125,10) 130
(125,10) (124,10) 83
(125,10) (126,10) 51
(126,10) (125,10) 16
(126,10) (127,10) 63
(127,10) (126,10) 94
(127,10) (128,10) 79
(128,10) (127,10) 65
(128,10) (129,10) 199
(129,10) (128,10) 71
(129,10) (130,10) 68
(130,10) (129,10) 22
(130,10) (131,10) 47
(131,10) (130,10) 174
(131,10) (132,10) 168
(132,10) (131,10) 194
(132,10) (133,10) 58
(133,10) (132,10) 133
(133,10) (134,10) 80
(134,10) (133,10) 120
(134,10) (135,10) 83
(135,10) (134,10) 44
(135,10) (136,10) 153
(136,10) (135,10) 104
(136,10) (137,10) 176
(137,10) (136,10) 9
(137,10) (138,10) 93
(138,10) (137,10) 19
(138,10) (139,10) 144
(139,10) (138,10) 71
(139,10) (140,10) 200
(140,10) (139,10) 77
(140,10) (141,10) 60
(141,10) (140,10) 50
(141,10) (142,10) 114
(142,10) (141,10) 47
(142,10) (143,10) 51
(143,10) (142,10) 189
(143,10) (144,10) 183
(144,10) (143,10) 157
(144,10) (145,10) 72
(145,10) (144,10) 40
(145,10) (146,10) 50
(146,10) (145,10) 98
(146,10) (147,10) 110
(147,10) (146,10) 65
(147,10) (148,10) 8
(148,10) (147,10) 166
(148,10) (149,10) 52
(149,10) (148,10) 189
(149,10) (150,10) 137
(150,10) (149,10) 106
(1,11) (2,11) 12
(2,11) (1,11) 20
(2,11) (3,11) 193
(3,11) (2,11) 136
(3,11) (4,11) 45
(4,11) (3,11) 150
(4,11) (5,11) 28
(5,11) (4,11) 185
(5,11) (6,11) 88
(6,11) (5,11) 190
(6,11) (7,11) 65
(7,11) (6,11) 124
(7,11) (8,11) 95
(8,11) (7,11) 81
(8,11) (9,11) 5
(9,11) (8,11) 152
(9,11) (10,11) 185
(10,11) (9,11) 27
(10,11) (11,11) 192
(11,11) (10,11) 47
(11,11) (12,11) 67
(12,11) (11,11) 142
(12,11) (13,11) 61
(13,11) (12,11) 119
(13,11) (14,11) 73
(14,11) (13,11) 104
(14,11) (15,11) 170
(15,11) (14,11) 117
(15,11) (16,11) 137
(16,11) (15,11) 72
(16,11) (17,11) 96
(17,11) (16,11) 72
(17,11) (18,11) 80
(18,11) (17,11) 196
(18,11) (19,11) 108
(19,11) (18,11) 80
(19,11) (20,11) 174
(20,11) (19,11) 19
(20,11) (21,11) 84
(21,11) (20,11) 41
(21,11) (22,11) 69
(22,11) (21,11) 194
(22,11) (23,11) 109
(23,11) (22,11) 160
(23,11) (24,11) 111
(24,11) (23,11) 141
(24,11) (25,11) 121
(25,11) (24,11) 80
(25,11) (26,11) 125
(26,11) (25,11) 51
(26,11) (27,11) 54
(27,11) (26,11) 89
(27,11) (28,11) 4
(28,11) (27,11) 158
(28,11) (29,11) 97
(29,11) (28,11) 15
(29,11) (30,11) 17
(30,11) (29,11) 94
(30,11) (31,11) 10
(31,11) (30,11) 186
(31,11) (32,11) 182
(32,11) (31,11) 58
(32,11) (33,11) 169
(33,11) (32,11) 87
(33,11) (34,11) 68
(34,11) (33,11) 122
(34,11) (35,11) 158
(35,11) (34,11) 106
(35,11) (36,11) 200
(36,11) (35,11) 147
(36,11) (37,11) 134
(37,11) (36,11) 198
(37,11) (38,11) 114
(38,11) (37,11) 104
(38,11) (39,11) 106
(39,11) (38,11) 83
(39,11) (40,11) 184
(40,11) (39,11) 121
(40,11) (41,11) 129
(41,11) (40,11) 139
(41,11) (42,11) 26
(42,11) (41,11) 147
(42,11) (43,11) 85
(43,11) (42,11) 33
(43,11) (44,11) 135
(44,11) (43,11) 148
(44,11) (45,11) 75
(45,11) (44,11) 158
(45,11) (46,11) 37
(46,11) (45,11) 121
(46,11) (47,11) 28
(47,11) (46,11) 17
(47,11) (48,11) 93
(48,11) (47,11) 142
(48,11) (49,11) 17
(49,11) (48,11) 98
(49,11) (50,11) 68
(50,11) (49,11) 40
(50,11) (51,11) 171
(51,11) (50,11) 12
(51,11) (52,11) 141
(52,11) (51,11) 179
(52,11) (53,11) 176
(53,11) (52,11) 61
(53,11) (54,11) 61
(54,11) (53,11) 60
(54,11) (55,11) 138
(55,11) (54,11) 35
(55,11) (56,11) 191
(56,11) (55,11) 146
(56,11) (57,11) 113
(57,11) (56,11) 76
(57,11) (58,11) 77
(58,11) (57,11) 101
(58,11) (59,11) 81
(59,11) (58,11) 122
(59,11) (60,11) 192
(60,11) (59,11) 66
(60,11) (61,11) 182
(61,11) (60,11) 185
(61,11) (62,11) 166
(62,11) (61,11) 19
(62,11) (63,11) 163
(63,11) (62,11) 39
(63,11) (64,11) 115
(64,11) (63,11) 48
(64,11) (65,11) 138
(65,11) (64,11) 79
(65,11) (66,11) 139
(66,11) (65,11) 12
(66,11) (67,11) 102
(67,11) (66,11) 57
(67,11) (68,11) 155
(68,11) (67,11) 174
(68,11) (69,11) 189
(69,11) (68,11) 153
(69,11) (70,11) 175
(70,11) (69,11) 17
(70,11) (71,11) 9
(71,11) (70,11) 83
(71,11) (72,11) 94
(72,11) (71,11) 131
(72,11) (73,11) 133
(73,11) (72,11) 72
(73,11) (74,11) 146
(74,11) (73,11) 79
(74,11) (75,11) 61
(75,11) (74,11) 104
(75,11) (76,11) 139
(76,11) (75,11) 143
(76,11) (77,11) 126
(77,11) (76,11) 36
(77,11) (78,11) 3
(78,11) (77,11) 105
(78,11) (79,11) 124
(79,11) (78,11) 22
(79,11) (80,11) 36
(80,11) (79,11) 196
(80,11) (81,11) 107
(81,11) (80,11) 32
(81,11) (82,11) 38
(82,11) (81,11) 152
(82,11) (83,11) 93
(83,11) (82,11) 173
(83,11) (84,11) 108
(84,11) (83,11) 56
(84,11) (85,11) 145
(85,11) (84,11) 72
(85,11) (86,11) 198
(86,11) (85,11) 165
(86,11) (87,11) 21
(87,11) (86,11) 151
(87,11) (88,11) 194
(88,11) (87,11) 192
(88,11) (89,11) 66
(89,11) (88,11) 115
(89,11) (90,11) 75
(90,11) (89,11) 51
(90,11) (91,11) 62
(91,11) (90,11) 159
(91,11) (92,11) 196
(92,11) (91,11) 116
(92,11) (93,11) 191
(93,11) (92,11) 179
(93,11) (94,11) 70
(94,11) (93,11) 183
(94,11) (95,11) 179
(95,11) (94,11) 156
(95,11) (96,11) 84
(96,11) (95,11) 47
(96,11) (97,11) 157
(97,11) (96,11) 177
(97,11) (98,11) 168
(98,11) (97,11) 113
(98,11) (99,11) 146
(99,11) (98,11) 156
(99,11) (100,11) 86
(100,11) (99,11) 102
(100,11) (101,11) 185
(101,11) (100,11) 59
(101,11) (102,11) 166
(102,11) (101,11) 139
(102,11) (103,11) 64
(103,11) (102,11) 11
(103,11) (104,11) 151
(104,11) (103,11) 86
(104,11) (105,11) 83
(105,11) (104,11) 144
(105,11) (106,11) 7
(106,11) (105,11) 94
(106,11) (107,11) 176
(107,11) (106,11) 91
(107,11) (108,11) 159
(108,11) (107,11) 119
(108,11) (109,11) 22
(109,11) (108,11) 177
(109,11) (110,11) 75
(110,11) (109,11) 73
(110,11) (111,11) 36
(111,11) (110,11) 99
(111,11) (112,11) 71
(112,11) (111,11) 173
(112,11) (113,11) 190
(113,11) (112,11) 183
(113,11) (114,11) 197
(114,11) (113,11) 108
(114,11) (115,11) 33
(115,11) (114,11) 123
(115,11) (116,11) 116
(116,11) (115,11) 163
(116,11) (117,11) 96
(117,11) (116,11) 193
(117,11) (118,11) 74
(118,11) (117,11) 142
(118,11) (119,11) 167
(119,11) (118,11) 83
(119,11) (120,11) 145
(120,11) (119,11) 120
(120,11) (121,11) 85
(121,11) (120,11) 132
(121,11) (122,11) 104
(122,11) (121,11) 156
(122,11) (123,11) 183
(123,11) (122,11) 137
(123,11) (124,11) 64
(124,11) (123,11) 172
(124,11) (125,11) 118
(125,11) (124,11) 115
(125,11) (126,11) 111
(126,11) (125,11) 43
(126,11) (127,11) 34
(127,11) (126,11) 1
(127,11) (128,11) 82
(128,11) (127,11) 177
(128,11) (129,11) 105
(129,11) (128,11) 166
(129,11) (130,11) 170
(130,11) (129,11) 51
(130,11) (131,11) 104
(131,11) (130,11) 60
(131,11) (132,11) 33
(132,11) (131,11) 43
(132,11) (133,11) 162
(133,11) (132,11) 36
(133,11) (134,11) 111
(134,11) (133,11) 131
(134,11) (135,11) 166
(135,11) (134,11) 196
(135,11) (136,11) 109
(136,11) (135,11) 194
(136,11) (137,11) 58
(137,11) (136,11) 115
(137,11) (138,11) 186
(138,11) (137,11) 121
(138,11) (139,11) 70
(139,11) (138,11) 28
(139,11) (140,11) 131
(140,11) (139,11) 117
(140,11) (141,11) 124
(141,11) (140,11) 180
(141,11) (142,11) 133
(142,11) (141,11) 81
(142,11) (143,11) 27
(143,11) (142,11) 145
(143,11) (144,11) 7
(144,11) (143,11) 191
(144,11) (145,11) 170
(145,11) (144,11) 154
(145,11) (146,11) 11
(146,11) (145,11) 43
(146,11) (147,11) 41
(147,11) (146,11) 93
(147,11) (148,11) 11
(148,11) (147,11) 11
(148,11) (149,11) 67
(149,11) (148,11) 161
(149,11) (150,11) 168
(150,11) (149,11) 7
(1,12) (2,12) 177
(2,12) (1,12) 57
(2,12) (3,12) 101
(3,12) (2,12) 97
(3,12) (4,12) 32
(4,12) (3,12) 80
(4,12) (5,12) 138
(5,12) (4,12) 57
(5,12) (6,12) 106
(6,12) (5,12) 143
(6,12) (7,12) 5
(7,12) (6,12) 32
(7,12) (8,12) 114
(8,12) (7,12) 193
(8,12) (9,12) 170
(9,12) (8,12) 23
(9,12) (10,12) 177
(10,12) (9,12) 8
(10,12) (11,12) 75
(11,12) (10,12) 12
(11,12) (12,12) 53
(12,12) (11,12) 6
(12,12) (13,12) 35
(13,12) (12,12) 199
(13,12) (14,12) 33
(14,12) (13,12) 129
(14,12) (15,12) 117
(15,12) (14,12) 47
(15,12) (16,12) 96
(16,12) (15,12) 3
(16,12) (17,12) 194
(17,12) (16,12) 52
(17,12) (18,12) 83
(18,12) (17,12) 21
(18,12) (19,12) 118
(19,12) (18,12) 1
(19,12) (20,12) 26
(20,12) (19,12) 192
(20,12) (21,12) 12
(21,12) (20,12) 112
(21,12) (22,12) 7
(22,12) (21,12) 48
(22,12) (23,12) 32
(23,12) (22,12) 17
(23,12) (24,12) 22
(24,12) (23,12) 110
(24,12) (25,12) 122
(25,12) (24,12) 113
(25,12) (26,12) 129
(26,12) (25,12) 192
(26,12) (27,12) 27
(27,12) (26,12) 171
(27,12) (28,12) 55
(28,12) (27,12) 55
(28,12) (29,12) 159
(29,12) (28,12) 197
(29,12) (30,12) 4
(30,12) (29,12) 84
(30,12) (31,12) 59
(31,12) (30,12) 194
(31,12) (32,12) 20
(32,12) (31,12) 55
(32,12) (33,12) 112
(33,12) (32,12) 39
(33,12) (34,12) 49
(34,12) (33,12) 190
(34,12) (35,12) 133
